Filename,SpeakerID,Gender,Begin,End,Vowel,F1,F2
common_voice_ja_26015174,3331,male_masculine,2.05,2.12,a,608.915247280701,1314.34722718003
common_voice_ja_32782871,3132,male_masculine,2.44,2.5,a,561.904891017534,1578.34590765954
common_voice_ja_26067806,3331,male_masculine,0.92,0.95,a,611.206246480369,1478.5992211722
common_voice_ja_26026044,3326,male_masculine,3.31,3.38,a,638.677224937225,1282.60799583864
common_voice_ja_25624391,3332,female_feminine,3.16,3.27,a,913.581050591278,1423.16184723701
common_voice_ja_36950941,3328,female_feminine,5.77,5.82,a,645.307585106494,2091.25758816871
common_voice_ja_36339316,2704,female_feminine,2.28,2.36,a,638.487452592879,1477.2846768936
common_voice_ja_24901998,3332,female,5.47,5.55,a,674.146623118596,1840.16943960331
common_voice_ja_37628635,3327,female_feminine,2.7,2.76,a,492.405748552504,1932.60084895864
common_voice_ja_36142644,2714,male_masculine,0.83,0.86,a,550.980420874803,1548.39373435073
common_voice_ja_26028123,3332,female_feminine,4.16,4.23,a,610.980417441959,1661.23093352749
common_voice_ja_35847622,3273,male_masculine,2.61,2.66,a,440.448545234094,1241.79132714488
common_voice_ja_26055234,3331,male_masculine,1.05,1.1,a,444.928511749799,1362.99613045656
common_voice_ja_26051720,3331,male_masculine,2.06,2.09,a,1159.50650858274,3003.63727892641
common_voice_ja_36952836,3328,female_feminine,5.02,5.09,a,658.69003190578,1695.01403198672
common_voice_ja_26013857,3331,male_masculine,3.85,3.89,a,523.069583750958,1671.90954170854
common_voice_ja_37608967,3319,female_feminine,2.84,2.92,a,519.111005869742,1690.17127836679
common_voice_ja_36355583,2750,male_masculine,1.11,1.16,a,298.835627740343,1370.3207843108
common_voice_ja_36298818,3056,female_feminine,2.63,2.68,a,741.538900297378,1779.21402840806
common_voice_ja_31380214,3079,male_masculine,3.48,3.52,a,546.934011023266,1838.46748968406
common_voice_ja_28728793,3332,female_feminine,1.78,1.82,a,487.938965199113,1473.76914759774
common_voice_ja_26015554,3331,male_masculine,1.76,1.79,a,536.12210475718,1676.6165391918
common_voice_ja_26130701,3331,male_masculine,3.56,3.61,a,566.676665472354,1114.03608656958
common_voice_ja_26912680,3332,female_feminine,4.27,4.32,a,628.848049168375,1648.08895125706
common_voice_ja_37373088,3324,female_feminine,2.18,2.26,a,494.044585626627,1794.16818786914
