Filename,SpeakerID,Gender,Begin,End,Vowel,F1,F2
common_voice_ja_35799196,2913,other,2.76,2.79,a,511.154579391346,998.97446660598
common_voice_ja_27630668,3115,female,1.42,1.54,a,597.641512775006,1079.32591333551
common_voice_ja_25879023,3110,male,0.21,0.29,a,600.714402200099,1226.42593289268
common_voice_ja_35789248,3015,male,1.41,1.45,a,744.154504539921,1789.12554705001
common_voice_ja_33231267,3079,male,1.54,1.59,a,582.720135621003,1395.18050163966
common_voice_ja_36106576,2906,female,0.85,0.94,a,783.328703520905,1777.53654818797
common_voice_ja_36337273,2584,male,0.91,0.97,a,504.128937517364,1383.85431458908
common_voice_ja_27984112,2235,male,3.01,3.09,a,633.424514409302,2651.04112557456
common_voice_ja_36166907,2863,male,1.99,2.13,a,708.564120345502,1335.21342934955
common_voice_ja_25283673,3087,male,1.48,1.52,a,609.352483360136,1512.46377953534
common_voice_ja_25688158,3112,male,1.52,1.61,a,605.811906004373,1635.46523148224
common_voice_ja_25832057,2846,,1.84,1.9,a,365.759858517275,1266.00714069145
common_voice_ja_35948274,2485,male,1.19,1.22,a,706.875530974066,1682.65486612943
common_voice_ja_35328404,2366,,0.68,0.78,a,464.702169415111,1222.44823544008
common_voice_ja_37156312,3111,female,3.77,3.84,a,618.233651268326,1679.31584253381
common_voice_ja_36184015,2836,male,2.55,2.59,a,422.167716322137,1077.82312673129
common_voice_ja_36351775,2265,male,1.51,1.55,a,449.77361182642,1357.30166039807
common_voice_ja_26014368,3114,male,2.18,2.21,a,494.522535902668,1013.79291149671
common_voice_ja_35011324,3090,male,0.58,0.63,a,711.500191779116,1381.38084398343
common_voice_ja_31818848,3113,male,1.69,1.75,a,402.466484308619,1406.29399265634
common_voice_ja_29762906,3091,,1.54,1.6,a,531.447901814701,1660.67929742588
common_voice_ja_36094844,2626,male,1.27,1.33,a,568.358212439287,1448.73531119004
common_voice_ja_37524111,3088,female,1.39,1.48,a,642.520966536755,1579.50368262136
common_voice_ja_37433468,3107,female,1.85,1.95,a,197.184235859498,1852.92555792423
common_voice_ja_36322454,2796,,1.27,1.38,a,367.058723700201,1926.63861783536
common_voice_ja_36372003,878,,1.05,1.15,a,666.525313942042,1267.80441824298
common_voice_ja_35949286,3068,male,0.89,0.96,a,699.6544915915,1572.70945750031
common_voice_ja_34942885,3090,male,1.85,1.91,a,661.867364567063,1392.71420465675
common_voice_ja_39083771,622,female,0.85,0.9,a,564.176223344977,1897.12652131583
common_voice_ja_24976816,3080,female,1.21,1.29,a,1012.02913216764,1265.16279389311
common_voice_ja_35788931,3013,female,0.72,0.79,a,757.697678453254,1641.8469908196
common_voice_ja_22452029,3105,male,1.05,1.13,a,688.697413984086,1489.32617889987
common_voice_ja_36357715,2524,male,0.66,0.73,a,696.35061623227,1489.15028557703
common_voice_ja_36364904,2526,female,1.09,1.16,a,922.301980063993,1342.19430982384
common_voice_ja_36486093,2108,female,2.07,2.13,a,702.799113002802,1752.20013530049
common_voice_ja_37654150,3102,female,1.39,1.49,a,694.075743356454,1226.45315738542
common_voice_ja_35842428,2974,male,2.98,3.03,a,684.17686187531,1793.70789043634
common_voice_ja_36318736,2759,female,1.17,1.23,a,613.728538584362,1652.7671353139
common_voice_ja_25371460,3112,male,1.1,1.15,a,694.524873709011,1442.56118770367
common_voice_ja_37121584,3107,female,0.45,0.49,a,365.058325825862,1784.02242136189
common_voice_ja_37180792,3108,female,1.54,1.68,a,788.708430821029,1902.16614551736
common_voice_ja_35949415,2950,male,1.0,1.03,a,315.19276455325,1018.56634160374
common_voice_ja_36341815,2614,male,1.63,1.68,a,538.563742450265,1418.77974644825
common_voice_ja_35210920,2962,other,1.05,1.1,a,959.001262345756,1494.58643465285
common_voice_ja_36296645,2915,male,1.69,1.75,a,496.95992793066,1188.29636152655
common_voice_ja_36356301,1989,,1.16,1.19,a,615.638599377767,1524.79978692232
common_voice_ja_35949168,3068,male,0.93,1.0,a,534.070496786305,1251.71839362379
common_voice_ja_36362345,2191,male,1.48,1.54,a,974.42268801577,1655.61840071183
common_voice_ja_36314469,2723,male,1.45,1.49,a,499.749624015678,1538.02055167513
common_voice_ja_20013331,2853,male,1.85,1.93,a,511.127105914076,1508.60593468477
common_voice_ja_25343204,3112,male,2.05,2.11,a,612.54067924773,1374.56860528927
common_voice_ja_35887357,2940,,1.43,1.46,a,731.420231424613,1451.15343860315
common_voice_ja_36192706,2791,male,0.7,0.74,a,471.620384759989,1075.37236298394
common_voice_ja_36322159,2874,female,1.63,1.71,a,679.382404318331,1642.46595341085
common_voice_ja_36311579,2832,male,1.43,1.49,a,792.464494478729,1323.77829703624
common_voice_ja_39011262,1304,male,1.32,1.37,a,407.780659833415,1498.12754042135
common_voice_ja_36044431,2933,male,1.18,1.25,a,614.621222507461,2004.81377003963
common_voice_ja_25399239,3112,male,2.39,2.45,a,726.392661092007,1262.10784237492
common_voice_ja_27892888,3115,female,2.08,2.13,a,754.855319399997,1639.44010184728
common_voice_ja_36030394,2739,female,1.96,1.99,a,784.338414566302,1139.02831284154
common_voice_ja_35805332,2969,,1.31,1.37,a,279.10902298462,1483.25608685491
common_voice_ja_35789658,3015,male,1.3,1.37,a,620.537956963944,1393.20204025941
common_voice_ja_27695442,3101,male,2.17,2.24,a,318.648325286402,1277.68437525781
common_voice_ja_34001135,2170,,1.26,1.43,a,719.197925771611,1328.56370946716
common_voice_ja_27553266,3115,female,1.83,1.91,a,620.406558288464,1552.36791211363
common_voice_ja_36296622,2875,male,0.83,0.88,a,636.50559791335,1557.12969591963
common_voice_ja_36352067,2416,,2.22,2.25,a,937.420580069599,1452.20596357723
common_voice_ja_20499966,1111,,2.79,2.84,a,709.381019507188,1436.40679208138
common_voice_ja_25861657,3110,male,0.72,0.78,a,913.561861623485,1397.86572711222
common_voice_ja_39069428,688,male,1.13,1.2,a,842.889243750929,1434.7103812451
common_voice_ja_25748654,3085,male,1.36,1.39,a,634.986251263343,1087.37444294379
common_voice_ja_36289344,2764,male,0.92,0.99,a,785.797457453077,1776.39563826778
common_voice_ja_36034953,1636,male,0.72,0.79,a,576.945708043248,1560.77724216692
common_voice_ja_33192451,2947,male,0.59,0.62,a,812.195648541339,1822.232328996
common_voice_ja_30686624,3086,,1.34,1.4,a,673.910100649983,1596.89815295779
common_voice_ja_36302015,2831,,1.21,1.25,a,710.626634509449,1728.94531866971
common_voice_ja_35889142,2883,female,1.63,1.72,a,647.172272059624,1879.9314865093
common_voice_ja_37141357,3108,female,2.19,2.25,a,679.326917654986,1768.66870746563
common_voice_ja_27967162,3115,female,1.53,1.62,a,658.984287318086,1493.08678264394
common_voice_ja_36338464,2391,female,1.4,1.49,a,549.166393288615,1937.92403224116
common_voice_ja_36353075,2619,female,1.32,1.4,a,790.105939297476,1339.68337482035
common_voice_ja_36345391,2390,male,1.7,1.75,a,531.17081767527,1376.22917700492
common_voice_ja_35819308,3054,male,1.12,1.19,a,348.2216653511,1372.06530219499
common_voice_ja_35898598,3007,male,0.54,0.59,a,636.557450425824,1418.08796381644
common_voice_ja_39044701,1343,female,1.63,1.67,a,817.994699853986,1319.53572785198
common_voice_ja_36322507,2796,,2.24,2.3,a,344.530539079496,2091.74058282424
common_voice_ja_36344843,2534,male,2.42,2.48,a,765.390844350622,1776.32205977357
common_voice_ja_31923178,3113,male,0.96,1.04,a,533.058751985914,1633.02382136124
common_voice_ja_37510072,3088,female,3.07,3.17,a,633.082730236532,1603.73620682912
common_voice_ja_35851041,3011,male,1.81,1.86,a,615.195080448286,1478.21478004639
common_voice_ja_37252954,3104,male,2.41,2.45,a,617.302074435297,1665.64639018755
common_voice_ja_36146911,3031,male,1.46,1.53,a,917.813903897378,1175.22763912198
common_voice_ja_30645595,3083,male,1.48,1.52,a,564.711938457724,1843.3959737805
common_voice_ja_37540470,3106,female,0.4,0.45,a,454.219552629825,1283.62900756206
common_voice_ja_35626568,2862,male,1.35,1.51,a,544.317227730507,1375.48889983061
common_voice_ja_36363804,2461,female,0.82,0.98,a,443.578456313792,2289.92151391475
common_voice_ja_26027448,3114,male,2.15,2.19,a,665.796904483166,1285.24207756584
common_voice_ja_36286313,2904,female,1.56,1.62,a,674.27334932114,1635.01293331953
common_voice_ja_33214334,3051,male,1.37,1.45,a,722.950546052344,1613.6453876113
common_voice_ja_37248707,3104,male,3.09,3.15,a,769.283573194753,1506.24921863267
common_voice_ja_35626555,2862,male,0.79,0.82,a,527.633300920647,1284.38330904791
common_voice_ja_36294511,2509,male,1.86,1.93,a,495.511507512503,1453.79058765015
common_voice_ja_36282217,2851,male,2.06,2.18,a,545.266558932749,1453.62589201888
common_voice_ja_27695933,3101,male,1.91,1.96,a,701.210199184255,1368.63890325291
common_voice_ja_25296219,3087,male,1.42,1.46,a,512.274076728908,1702.03012441859
common_voice_ja_35968248,3048,,1.08,1.13,a,558.037388519508,1846.58460249005
common_voice_ja_36153868,3016,female,1.36,1.46,a,758.050124983078,1627.38944192855
common_voice_ja_25688942,3112,male,1.78,1.85,a,651.117008112216,1664.5270193027
common_voice_ja_37002455,3108,female,1.36,1.43,a,853.286952986392,1641.539698488
common_voice_ja_39105428,1183,,1.04,1.09,a,665.511401150489,1684.39905440727
